Question Number,Question,Option A,Option B,Option C,Option D,Answer
27,Formulas in MS Excel always start with which of the following symbols?,"""=""","""!""","""#""","""$""","""="""
28,Which function is used to convert text to a number properly in Excel?,"""VALUE""","""TEXT""","""CONVERT""","""NUM""","""a"""
29,Which function in Excel is used to calculate the average of a range of cells?,"""SUM""","""AVERAGE""","""MEDIAN""","""MODE""","""b"""
30,"In MS Word, what feature allows you to track changes made to a document?","""Track Changes""","""Comments""","""Versions""","""Highlighting""","""a"""
31,"In Excel, which chart type is used to show trends over time?","""Bar Chart""","""Pie Chart""","""Line Chart""","""Area Chart""","""c"""
32,Which MS Office application is used for creating presentations?,"""Excel""","""Word""","""PowerPoint""","""Outlook""","""c"""
33,"In Excel, which function returns the largest value from a set of values?","""MIN""","""MAX""","""SUM""","""AVERAGE""","""b"""
34,What does the ‘AutoSum’ function do in Excel?,"""Automatically formats cells""","""Automatically adjusts column width""","""Automatically sums up a range of cells""","""Automatically converts text to numbers""","""c"""
35,"In MS Word, which option is used to apply a specific style to a paragraph?","""Styles""","""Formatting""","""Themes""","""Templates""","""a"""
36,"In Excel, how can you quickly apply a filter to a range of data?","""Select the data and click 'Filter' from the Data tab""","""Use the 'Sort & Filter' option from the Home tab""","""Right-click the data range and select 'Filter'""","""Click 'Data Validation' from the Data tab""","""a"""
37,Which shortcut key is used to save a document in MS Word?,"""Ctrl + P""","""Ctrl + C""","""Ctrl + S""","""Ctrl + X""","""c"""
38,"In Excel, which function calculates the total number of cells in a range that contain numeric values?","""COUNTA""","""COUNT""","""SUM""","""AVERAGE""","""b"""
39,What is the default file extension for a Microsoft Word document?,""".docx""",""".xlsx""",""".pptx""",""".txt""","""a"""
40,Which tab in Excel allows you to insert different types of charts?,"""Home""","""Insert""","""Data""","""Review""","""b"""
41,"In MS Word, which feature is used to add headers and footers to a document?","""Page Layout""","""References""","""Insert""","""Design""","""c"""
42,Which Excel function is used to find the smallest value in a range of cells?,"""MIN""","""MAX""","""AVERAGE""","""SUM""","""a"""
43,"In MS Word, how can you create a bulleted list?","""Click on the 'Bullets' button in the Paragraph group""","""Use the 'Numbering' option from the Format tab""","""Apply the 'List' style from the Home tab""","""Insert a 'Table' and format it as a list""","""a"""
44,Which Excel function returns the current date?,"""NOW""","""DATE""","""TODAY""","""TIME""","""c"""
45,"In MS Word, which option helps in checking the grammar and spelling of a document?","""Proofing""","""Review""","""Editing""","""Formatting""","""b"""
46,Which feature in Excel allows you to remove duplicate values from a dataset?,"""Remove Duplicates""","""Filter""","""Sort""","""Find & Replace""","""a"""
47,"In MS Word, what is the purpose of using the 'Find and Replace' feature?","""To search for specific text and replace it with new text""","""To search and highlight text""","""To replace fonts in a document""","""To find and format text""","""a"""
48,"In Excel, which function calculates the number of characters in a text string?","""LEN""","""CHAR""","""TEXT""","""SEARCH""","""a"""
49,What is the default page orientation in MS Word?,"""Portrait""","""Landscape""","""Square""","""Custom""","""a"""
50,"In Excel, which function is used to round a number to a specified number of digits?","""ROUND""","""CEILING""","""FLOOR""","""TRUNC""","""a"""
51,"In MS Word, how can you apply a template to a new document?","""Select 'File' → 'New' and choose a template""","""Use 'Insert' → 'Template'""","""Click 'Design' → 'Templates'""","""Apply a style from the 'Home' tab""","""a"""
52,Which Excel function is used to calculate the number of cells that meet a specific condition?,"""COUNTIF""","""SUMIF""","""AVERAGEIF""","""IF""","""a"""
53,"In MS Word, how can you insert a table of contents?","""Select 'References' → 'Table of Contents'""","""Use 'Insert' → 'Table of Contents'""","""Click 'Design' → 'Table of Contents'""","""Apply a 'Table of Contents' style from 'Home'""","""a"""
54,"Which function in Excel returns the value of the first argument if it is not blank, and the second argument if the first argument is blank?","""IF""","""ISBLANK""","""COALESCE""","""IFERROR""","""c"""
55,"In MS Word, what feature allows you to create a cover page?","""Select 'Insert' → 'Cover Page'""","""Use 'Design' → 'Cover Page'""","""Click 'Page Layout' → 'Cover Page'""","""Apply a 'Cover Page' style from 'Home'""","""a"""
56,Which Excel function calculates the total number of cells that contain text?,"""COUNTA""","""COUNTIF""","""COUNT""","""TEXT""","""a"""
57,"In MS Word, which option allows you to change the document's orientation?","""Select 'Layout' → 'Orientation'""","""Use 'Page Layout' → 'Orientation'""","""Click 'Design' → 'Orientation'""","""Apply 'Orientation' from 'Home'""","""b"""
58,Which Excel feature allows you to view data in a graphical format?,"""Charts""","""Tables""","""Conditional Formatting""","""Data Validation""","""a"""
59,"In MS Word, how can you add a watermark to a document?","""Select 'Design' → 'Watermark'""","""Use 'Insert' → 'Watermark'""","""Click 'Page Layout' → 'Watermark'""","""Apply a 'Watermark' style from 'Home'""","""a"""
60,"Which Excel function returns the average of numbers in a range, excluding any errors?","""AGGREGATE""","""AVERAGEIF""","""AVERAGE""","""IFERROR""","""a"""
61,"In MS Word, how can you create a hyperlink?","""Select text → right-click → 'Hyperlink'""","""Use 'Insert' → 'Hyperlink'""","""Click 'Home' → 'Hyperlink'""","""Apply a 'Link' style from 'Design'""","""b"""
62,Which Excel feature allows you to create a pivot table to summarize data?,"""PivotTable""","""Data Table""","""Chart""","""Range""","""a"""
63,"In MS Word, which option is used to change the font size of selected text?","""Use the 'Font Size' dropdown in the Home tab""","""Apply 'Text Size' from the Design tab""","""Click 'Formatting' → 'Font Size'""","""Select 'Home' → 'Text Size'""","""a"""
64,Which Excel function finds the position of a substring within a string?,"""FIND""","""SEARCH""","""POSITION""","""LOCATE""","""b"""
65,"In MS Word, which option allows you to adjust the spacing between lines of text?","""Line Spacing""","""Paragraph Spacing""","""Text Alignment""","""Indentation""","""a"""
66,Which Excel function converts a number to text in a specified format?,"""TEXT""","""VALUE""","""CONVERT""","""FORMAT""","""a"""
67,"In MS Word, how can you add a comment to a document?","""Select text → right-click → 'New Comment'""","""Use 'Review' → 'New Comment'""","""Click 'Insert' → 'Comment'""","""Apply 'Comment' from the 'Design' tab""","""b"""
68,Which Excel feature allows you to highlight cells that meet specific criteria?,"""Conditional Formatting""","""Data Validation""","""Find & Replace""","""Cell Styles""","""a"""
69,"In MS Word, how do you create a numbered list?","""Select 'Home' → 'Numbering'""","""Use 'Insert' → 'Numbering'""","""Click 'Design' → 'Numbering'""","""Apply a 'List' style from 'Home'""","""a"""
70,Which Excel function calculates the number of rows in a range?,"""ROWS""","""COUNT""","""COUNTA""","""SUM""","""a"""
